menu	official_label_en	disposition	target	note
File	New	stable	file.new	New unnamed document
File	Open	stable	file.open	Native open panel
File	Open part of file...	stable	file.openPartial	Byte-range partial open
File	Load...	stable	file.closeAndOpen	Close current file and open another
File	Close file	stable	file.closeTab	Close current document tab
File	Save	stable	file.save	Save in original encoding and line endings
File	save(line separated by LF only)([)	stable	file.saveLF	Save with LF line endings
File	Save as...	stable	file.saveAs	Native save panel
File	Append save to other file(])	stable	file.appendSave	Append current contents to another file
File	Insert file...	stable	insert.fileContents	Insert decoded file contents at selections
File	Print...	stable	file.print	Native AppKit printing
File	Open project...	stable	file.openFolder	Folder-backed project
File	Save as project...	stable	file.saveWorkspace	Portable workspace captures project documents
File	Open desktop...	stable	file.openWorkspace	Open .maruedit-workspace desktop
File	Save as desktop...	stable	file.saveWorkspace	Save .maruedit-workspace desktop
File	Close desktop	stable	file.closeWorkspace	Close the workspace document set with normal save/discard/cancel confirmation
File	New web browse mode(H)	unsupported	windows.webBrowseMode	Embedded IE/WebView browse mode has no macOS editor-shell equivalent; URLs open in the default browser
File	FTP Open(G)...	unsupported	windows.ftpModule	Hidemarnet/FTP module is Windows-only; mounted remote files use the normal Open command
File	FTP Save as...	unsupported	windows.ftpModule	Hidemarnet/FTP module is Windows-only; mounted remote files use the normal Save As command
File	Encoding	group	file.encodingAndBinary	Encoding choices are dynamic; binary mode is file.openBinary
File	Browse mode	stable	file.toggleViewMode	Document-local View Mode
File	Switch Read-only	stable	file.toggleOverwriteProtection	Edit-preserving same-path overwrite prohibition
File	Web	group	windows.webCommands	Windows Web submenu; browser destinations use the default browser
File	Save and Exit all	stable	file.saveAllAndClose	Save and close all documents
File	Exit	native	NSApplication.terminate	macOS application lifecycle command
File	Quit all	stable	file.discardAllAndClose	Close all documents with normal unsaved-change handling
File	Save all(Z)	stable	file.saveAll	Save all documents
File	save all(updated file only)	stable	file.saveAllModified	Save modified documents only
File	Quit without saving(K)	stable	file.discardAndClose	Discard and close current document
File	Quit all without saving	stable	file.discardAllAndClose	Discard and close all documents
File	Close window	native	NSWindow.performClose	Native macOS window close
File	Property of file	stable	file.properties	Current file metadata
File	Rename current file(-)...	stable	file.rename	Filesystem rename with document update
File	Open it(J)	stable	file.openCursorTargetAssociated	Open cursor target with associated application
File	Open it by Maruo Editor	stable	file.openCursorTargetInEditor	Open cursor target in MaruEdit
File	Open by shell	stable	file.openCursorTargetAssociated	Open cursor target through NSWorkspace association
File	Reload(/)	stable	file.reload	Reload current file from disk
File	Stop file history(^)	stable	file.toggleHistoryRecording	Suspend/resume recent history recording
File	File history	dynamic	NSDocumentController.recentDocumentURLs	Native recent-file list
File	Folder history	stable	file.projectHistory	Recent folder projects
File	Desktop history(@)	stable	file.workspaceHistory	Recent .maruedit-workspace desktops
File	Project history(:)	stable	file.projectHistory	Recent folder projects
Hilight	Outline...	stable	highlight.outlineAnalysis	Reveal the live profile-aware outline pane
Hilight	Go Next Highlighted line	stable	highlight.nextLine	Wraparound highlighted-line navigation
Hilight	Go Previous Highlighted line	stable	highlight.previousLine	Reverse wraparound highlighted-line navigation
Hilight	Select Highlighted line area	stable	highlight.selectLineArea	Select the contiguous highlighted logical-line region
Bookmark	Add bookmark...	stable	navigate.toggleBookmark	Add or remove the current document line bookmark
Bookmark	Edit bookmark...	stable	navigate.bookmarkList	List bookmarks with jump and remove actions
Help	External Help(1)	stable	help.external1	Persistent external-help slot 1
Help	External Help 2(2)	stable	help.external2	Persistent external-help slot 2
Help	External Help 3(3)	stable	help.external3	Persistent external-help slot 3
Help	External Help 4(4)	stable	help.external4	Persistent external-help slot 4
Help	External Help 5(5)	stable	help.external5	Persistent external-help slot 5
Help	External Help 6(6)	stable	help.external6	Persistent external-help slot 6
Help	Version check...	stable	help.checkUpdates	Open the release-check destination
Help	Help for Maruo Editor	stable	app.help	Open the MaruEdit user guide
Help	Macro help	stable	help.macros	Open the macro guide
Help	About Maruo Editor	native	NSApplication.orderFrontStandardAboutPanel	Native macOS About panel in the application menu
Conv	to Upper case	stable	edit.uppercase	Unicode-aware uppercase conversion
Conv	to Lower case	stable	edit.lowercase	Unicode-aware lowercase conversion
Conv	Convert to hankaku	stable	convert.halfWidth	Generic full-width to half-width conversion
Conv	To zenkaku-hiragana	stable	convert.hiragana	Full-width hiragana conversion
Conv	To zenkaku-katakana	stable	convert.katakana	Full-width katakana conversion
Conv	To hankaku alphabet	stable	convert.halfWidthAlphanumeric	Selective alphanumeric symbol and space conversion
Conv	To zenkaku alphabet	stable	convert.fullWidthAlphanumeric	Selective full-width alphanumeric conversion
Conv	To hankaku katakana only	stable	convert.halfWidthKatakana	Selective katakana half-width conversion
Conv	To zenkaku katakana only	stable	convert.fullWidthKatakana	Selective katakana full-width conversion
Conv	Tab -&gt; Space	stable	convert.tabsToSpaces	Tab-to-space conversion using active tab width
Conv	Space -&gt; Tab	stable	convert.spacesToTabs	Space-to-tab conversion using active tab width
Conv	Indent	stable	edit.indent	Multi-selection line indent
Conv	Unindent	stable	edit.outdent	Multi-selection line outdent
Conv	Sort...	stable	edit.sortLines	Stable line sort with one-step Undo
Macro	Start/Stop record	stable	macro.toggleRecording	Single menu command toggles recording state
Macro	Play	stable	macro.playRecording	Play captured command sequence once
Macro	Repeat play...	stable	macro.repeatPlayback	Prompt for bounded repeat count
Macro	Save record...	stable	macro.saveRecording	Save capture as non-overwriting JavaScript macro
Macro	Load record...	stable	macro.reload	Reload saved recordings into the registered catalog
Macro	Execute macro...	stable	macro.run	Choose and execute a registered macro
Macro	Register macro...	dynamic	macro.registeredCatalog	Metadata-driven named catalog and shortcut assignments replace fixed Windows slots
Macro	Macro folder	stable	macro.openFolder	Reveal the permission-scoped macro folder in Finder
Macro	Macro help	stable	macro.help	Open macro documentation
